Time	Distance	Power
19.919	813.18	244.060704
19.969	814.92	162.577392
20.019	816.6	264.667744
20.069	818.37	267.887424
20.119	820.08	220.036032
20.169	821.85	231.11376
20.219	823.59	250.398672
20.269	825.36	270.88616
20.319	827.13	277.358784
20.369	828.9	205.532088
20.419	830.73	290.13712
20.469	832.53	186.537312
20.519	834.33	305.856
20.569	836.16	204.422352
20.619	837.93	-72.011088
20.669	839.67	-171.128928
20.719	841.41	-252.676344
20.769	843.06	-179.545728
20.819	844.71	-191.31728
20.869	846.3	-181.6914
20.919	847.94	-149.05308
20.969	849.5	-82.465344
21.019	851.15	-122.330376
21.069	852.67	-120.226192
21.119	854.32	-105.25824
21.169	855.88	-47.597752
21.219	857.4	3.199
21.269	858.93	20.213936
21.319	860.55	21.034752
21.369	862.13	23.396688
21.419	863.66	17.74896
21.469	865.19	21.076096
21.519	866.71	5.474736
21.568	868.24	-8.181888
21.618	869.76	-52.505712
21.668	871.2	-66.64128
21.718	872.66	-52.230208
21.768	874.16	-3.89664
21.818	875.56	16.13472
21.868	877.09	56.917488
21.918	878.52	55.612
21.968	879.99	115.7344
22.018	881.48	105.42448
22.068	882.89	91.723296
22.118	884.41	192.9106
22.168	885.85	219.621888
22.218	887.31	203.4312
22.268	888.84	188.95032
22.318	890.36	193.39776
22.368	891.89	219.951312
22.418	893.42	147.84
22.468	894.94	151.066392
22.518	896.47	301.692384
22.568	897.99	246.698144
22.618	899.52	208.70824
22.668	901.14	167.594752
22.718	902.72	190.811664
22.768	904.28	193.93728
22.818	905.93	179.337816
22.868	907.52	287.623792
22.918	909.13	221.415016
22.968	910.78	187.495904
23.018	912.4	321.52032
23.068	914.08	271.44096
23.118	915.72	213.358464
23.168	917.4	247.210056
23.218	919.08	318.389824
23.268	920.79	229.482224
23.318	922.47	263.350624
23.368	924.21	264.992512
23.417	925.92	310.368768
23.467	927.69	203.559936
23.517	929.49	154.68504
23.567	931.26	162.88008
23.617	933.03	205.537816
23.667	934.8	266.76408
23.717	936.6	293.97368
23.767	938.4	208.475352
23.817	940.2	174.521088
23.867	942	198.735528
23.917	943.83	186.81104
23.967	945.66	306.376224
24.017	947.52	221.558448
24.067	949.39	305.81944
24.117	951.22	204.000608
24.167	953.08	202.288464
24.217	954.97	263.49552
24.267	956.89	223.664344
24.317	958.82	165.623176
24.367	960.71	228.049728
24.417	962.6	292.756464
24.467	964.58	252.56904
24.517	966.51	269.744832
24.567	968.49	316.440312
24.617	970.47	194.66964
24.667	972.49	294.400152
24.717	974.44	234.373216
24.767	976.49	303.585408
24.817	978.47	207.579576
24.867	980.45	256.9984
24.917	982.53	305.14608
24.967	984.6	291.295608
25.017	986.68	297.46816
25.067	988.78	221.516496
25.117	990.92	170.581968
25.167	993.06	225.652
25.217	995.19	299.722104
25.266	997.27	192.46272
25.316	999.37	247.123184
25.366	1001.51	308.473344
25.416	1003.65	237.852576
25.466	1005.81	321.6448
25.516	1007.95	279.939552
25.566	1010.09	248.94364
25.616	1012.31	237.710496
25.666	1014.48	189.855392
25.716	1016.71	188.198712
25.766	1018.88	272.7418
25.816	1021.1	38.24184
25.866	1023.33	-39.767264
25.916	1025.56	-42.051688
25.966	1027.76	-127.675392
26.016	1029.95	-180.815448
26.066	1032.12	-339.547624
26.116	1034.23	-197.123472
26.168	1036.3	-225.247232
26.226	1038.32	-250.40848
26.276	1040.36	-261.143736
26.326	1042.28	-182.243808
26.376	1044.21	-272.134616
26.426	1046.07	-189.716992
26.476	1047.9	-209.325336
26.526	1049.67	-307.931184
26.576	1051.44	-191.632056
26.626	1053.24	-293.88592
26.676	1054.95	-277.0272
26.726	1056.66	-212.96888
26.776	1058.37	-313.64352
26.826	1060.01	-279.136896
26.876	1061.57	-247.90816
26.926	1063.25	-200.74176
26.976	1064.77	-202.497704
27.026	1066.3	-216.89584
27.076	1067.83	-191.814912
27.126	1069.23	-258.840576
27.175	1070.63	-176.820864
27.225	1072.01	-220.68576
27.275	1073.38	-209.573952
27.325	1074.78	-162.051192
27.375	1076.13	-228.2742
27.425	1077.44	-218.574336
27.475	1078.72	-181.847568
27.525	1079.97	-111.6864
27.575	1081.25	-172.299456
27.625	1082.48	-148.801104
27.675	1083.7	-105.251616
27.725	1084.86	-123.410328
27.775	1086.02	-102.9
27.825	1087.21	-94.073832
27.875	1088.36	-85.02804
27.925	1089.49	-88.452672
27.975	1090.59	-72.57328
28.025	1091.75	-44.17932
28.075	1092.85	-70.831488
28.125	1093.92	-64.912224
28.175	1095.02	-54.007136
28.225	1096.06	-39.48864
28.275	1097.15	-34.7324
28.325	1098.19	-19.7512
28.375	1099.32	-31.195968
28.425	1100.33	-35.581952
28.475	1101.34	-39.285368
28.525	1102.37	-32.455512
28.575	1103.38	-45.345528
28.625	1104.39	-40.814664
28.675	1105.42	-45.89568
28.725	1106.37	-32.019632
28.775	1107.35	-47.694336
28.825	1108.35	-38.449152
28.875	1109.27	-33.187968
28.925	1110.31	-28.051776
28.975	1111.22	-45.432576
29.024	1112.14	-29.67368
29.074	1113.08	-45.294912
29.124	1114	-23.3472
29.174	1114.92	-23.207968
29.224	1115.8	-21.217648
29.274	1116.69	-12.640288
29.324	1117.57	-3.77952
29.374	1118.46	14.977024
29.424	1119.34	51.040528
29.474	1120.26	82.19232
29.524	1121.2	89.73612
29.574	1122.12	124.3884
29.624	1123.06	100.31032
29.674	1124.04	116.473888
29.724	1124.96	191.408064
29.774	1125.96	130.448256
29.824	1126.94	142.849248
29.874	1127.92	181.00632
29.924	1129.02	183.55668
29.974	1130.02	158.230864
30.024	1131.06	264.750464
30.074	1132.16	191.514984
30.124	1133.26	250.322688
30.174	1134.39	287.969936
30.224	1135.48	186.890816
30.274	1136.64	262.279248
30.324	1137.83	204.97376
30.374	1138.99	195.93184
30.424	1140.15	250.124816
30.474	1141.37	217.012608
30.524	1142.6	270.366976
30.574	1143.82	317.2736
30.624	1145.07	307.43356
30.674	1146.32	169.186752
30.724	1147.63	255.021312
30.774	1148.94	168.29232
30.824	1150.29	241.2852
30.874	1151.63	191.54716
30.923	1152.97	306.121048
30.973	1154.35	269.359104
31.023	1155.72	187.618392
31.073	1157.09	296.74296
31.123	1158.5	288.43488
31.173	1159.93	283.739496
31.223	1161.36	307.559424
31.273	1162.83	179.456256
31.323	1164.26	296.20424
31.373	1165.79	160.264
